gene	Body wall muscle	Intestinal/rectal muscle	Pharyngeal muscle	Pharyngeal epithelia	Pharyngeal gland	Seam cells	Non-seam hypodermis	Rectum	Ciliated sensory neurons	Oxygen sensory neurons	Touch receptor neurons	Cholinergic neurons	GABAergic neurons	Pharyngeal neurons	flp-1(+) interneurons	Other interneurons	Canal associated neurons	Am/PH sheath cells	Socket cells	Excretory cells	Intestine	Germline	Somatic gonad precursors	Distal tip cells	Vulval precursors	Sex myoblasts	Coelomocytes
aap-1	7.42571	10.2051	26.7926	19.1266	2.75626	17.6849	6.12507	0	2.60164	34.1003	63.3497	14.7648	12.4378	0	34.3228	8.67673	15.4967	14.6141	17.4515	11.5509	25.8093	62.497	38.821	25.7457	39.834	33.446	23.5223
aat-1	0.205517	0	64.3673	190.044	255.232	4.45854	7.95749	40.7509	16.9763	3.17395	0	40.3478	0	105.334	0	0	6.71949	3.54769	0	0	1.02564	0	87.7735	57.7943	1.85697	205.182	73.4222
aat-2	47.708	80.0162	24.8706	9.40625	20.0011	0.820582	8.64212	4.06296	0	78.4743	11.976	34.9414	7.37463	18.1465	3.88537	11.3615	0	0	8.3741	0	0	0	74.5235	43.2015	1.26445	163.596	26.608
aat-3	53.5553	52.8529	29.684	0	4.68388	14.2304	16.5889	44.3543	27.3443	65.4935	10.9671	31.7244	573.28	77.9364	58.6618	55.7439	0	37.2365	76.6144	43.3929	5.0563	0.24865	54.9824	178.357	19.2585	79.5877	8.28349
aat-4	0.059285	2.01287	0.462783	0	0	0.31694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1713	0.118407	0	0	0	0	2.15946
aat-5	215.532	30.1768	275.101	13.5221	0	4.63881	5.13286	1.35432	36.7581	105.024	152.186	343.42	334.653	168.929	249.525	397.896	0	0	0	14.6742	2.82334	0.596273	0	9.91537	0	105.255	13.6128
aat-6	0.160962	0	0	10.6626	0	1.8674	0	0	0	0	0	0	0	0	0	0	0	33.018	0	0	3.5414	0.604367	0	0	0	0	0
aat-7	0.0985757	0	0	0	0	0.0775064	0	0	0	0	0	0	14.881	0	0	0	0	0	0	0	5.1085	0.371613	0	0	0	0	0
aat-8	0.132273	0	0	0.725576	0	0.572127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59425	0.0544636	0	0	0	0	0
aat-9	24.4173	34.5651	1.88895	7.30906	26.9879	34.8828	29.5853	36.0857	12.8039	0	0	13.6093	0	7.42357	0	4.56951	119.886	17.9291	2.06452	18.3642	15.4101	164.241	82.1668	46.8313	66.6151	82.9343	51.6695
abf-1	1.08901	0	0	0	0	0.32195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.877871	0	0.546072	0	0	0	0
abf-2	0.14689	0	1.68819	5.09007	466.573	0	0	0	0	0	0	0	0	11.6656	0	0	0	0	0	0	1.08046	0.113967	0	0	0	0	0
abf-3	0	0	0	0	0	0.230937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127004	0	0	0	0	0
abf-4	0	0	9.47562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7221	0	0	0	0	0	0	0	0	0
abf-5	0.093403	0	97.4025	4.7978	18.8755	0.413997	0	0	0	0	0	0	20.8333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abf-6	0.15501	0	572.445	975.382	0	1.59462	1.50382	0	0	12.8576	5.41903	0	0	0	0	0	16.1175	0	0	0	2.96927	0.229949	0	0	0	0	2.13031
abl-1	119.415	122.282	428.559	272.666	104.912	106.375	90.9919	281.149	122.121	297.13	191.595	291.975	102.036	193.281	94.314	130.442	101.478	199.504	1105.06	370.453	217.77	1.53473	119.277	225.281	233.177	303.372	61.2359
abt-1	0.897943	0	0	0	0	1.11155	0.228886	0	24.2006	0	0	0	0	0	0	0	0	0	0	0	1.99217	3.81182	2.35878	0	14.3333	15.9414	1.66601
abt-2	8.63602	5.44342	292.334	1155.35	330.071	16.6883	24.7156	10.5016	597.753	118.421	1926.41	363.135	173.548	315.348	123.975	192.012	168.69	4.93035	78.7374	4.46788	313.969	1.16183	76.1489	92.8552	26.2356	2.95479	57.551
abt-4	0.607819	0	12.3295	9.12889	9.50724	1.22572	0.854929	0	0	0	0	2.06979	0	0	0	0	0	0	0	0	876.653	0.563841	0	0	0.952327	0	3.25831
abt-5	0.732846	0	0	0.608495	6.72179	0.652324	0	0	5.70985	0	0	5.13136	0	0	0	0	0	0	0	0	0	1.06531	0	0	0	4.48913	1.49975
abu-1	0.105146	0	178.003	1149.96	0	0	2.70589	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12152	1.06454	0	0	0	0	0
abu-2	0.39576	0	0	0	0	0	0	0	28.5036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
